accession,strain,species,genus,family,order,class,subphylum,phylum,kingdom,superkingdom
NP_012706.1,Saccharomyces cerevisiae S288C,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AHY76042.1,Saccharomyces cerevisiae YJM993,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS53605.1,Saccharomyces cerevisiae YJM1460,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
GAX70552.1,Saccharomyces cerevisiae,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS47378.1,Saccharomyces cerevisiae YJM1383,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS41686.1,Saccharomyces cerevisiae YJM1208,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS55397.1,Saccharomyces cerevisiae YJM1527,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS31531.1,Saccharomyces cerevisiae YJM270,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS49709.1,Saccharomyces cerevisiae YJM1401,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS53017.1,Saccharomyces cerevisiae YJM1447,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS39873.1,Saccharomyces cerevisiae YJM1083,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
EHN06002.1,Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7,Saccharomyces cerevisiae x Saccharomyces kudriavzevii,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AJS42861.1,Saccharomyces cerevisiae YJM1250,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
EWG84658.1,Saccharomyces cerevisiae R008,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
QHS74391.1,Saccharomyces paradoxus,Saccharomyces paradoxus,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
Q7Z891.1,Saccharomyces paradoxus,Saccharomyces paradoxus,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
EGA61541.1,Saccharomyces cerevisiae FostersO,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
Q7Z893.1,Saccharomyces mikatae,Saccharomyces mikatae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_018220844.1,Saccharomyces eubayanus,Saccharomyces eubayanus,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
Q7Z894.1,Saccharomyces bayanus,Saccharomyces bayanus,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
EJS43005.1,Saccharomyces arboricola H-6,Saccharomyces arboricola,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
EJT44328.1,Saccharomyces kudriavzevii IFO 1802,Saccharomyces kudriavzevii,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_003676294.1,Naumovozyma castellii CBS 4309,Naumovozyma castellii,Naumovozyma,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_003671429.1,Naumovozyma dairenensis CBS 421,Naumovozyma dairenensis,Naumovozyma,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_004179350.1,Tetrapisispora blattae CBS 6284,Tetrapisispora blattae,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
SMN20402.1,Kazachstania saulgeensis,Kazachstania saulgeensis,Kazachstania,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
Q7Z892.1,Lachancea kluyveri NRRL Y-12651,Lachancea kluyveri,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_003682584.1,Torulaspora delbrueckii,Torulaspora delbrueckii,Torulaspora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_003687588.1,Tetrapisispora phaffii CBS 4417,Tetrapisispora phaffii,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
GAV53507.1,Zygosaccharomyces rouxii,Zygosaccharomyces rouxii,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_002496451.1,Zygosaccharomyces rouxii,Zygosaccharomyces rouxii,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_022674337.1,Kluyveromyces marxianus DMKU3-1042,Kluyveromyces marxianus,Kluyveromyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
QGN13373.1,Kluyveromyces marxianus,Kluyveromyces marxianus,Kluyveromyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
CUS25230.1,Lachancea quebecensis,Lachancea quebecensis,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
SCW02140.1,Lachancea fermentati,Lachancea fermentati,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_002554222.1,Lachancea thermotolerans CBS 6340,Lachancea thermotolerans,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_003959759.1,Kazachstania africana CBS 2517,Kazachstania africana,Kazachstania,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
SCV02401.1,Lachancea nothofagi CBS 11611,Lachancea nothofagi,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
SJM88178.1,Zygosaccharomyces bailii,Zygosaccharomyces bailii,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AQZ11941.1,Zygosaccharomyces parabailii,Zygosaccharomyces parabailii,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
AQZ17456.1,Zygosaccharomyces parabailii,Zygosaccharomyces parabailii,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
CDH15760.1,Zygosaccharomyces bailii ISA1307,Zygosaccharomyces bailii,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
